Name,Height,School
Shakib Delowar,71.0,CCNY
Brandon  Green,72.0,CCNY
Reng  Chen,69.0,CCNY
Anirudha Das,68.0,CCNY
Gabriel Linus,75.0,CCNY
Nana Boateng,67.0,CCNY
Carlos Garcia,72.0,CCNY
Alex  Ma,70.0,CCNY
Amir Nabiyev,71.0,CCNY
Alex Abraham,73.0,CCNY
Mahmoud Tayeh,74.0,CCNY
Kyrylo Vysotskyy,72.0,CCNY
Ray Rodriguez,67.0,Lehman College
Abdoylaye Kante,71.0,Lehman College
Oscar Calderon,76.0,Lehman College
Christopher King,71.0,Lehman College
Levi Rosario,64.0,Lehman College
Emmanuel Oladosu,70.0,Lehman College
Joseph Gianfranco Teves,65.0,Lehman College
Alain Abreu Esteva,72.0,Lehman College
Daylan Peralta,72.0,Lehman College
Neithan Pilay,70.0,Lehman College
Christian Agudo,67.0,Lehman College
Emmanuel Cochran,76.0,Lehman College
Almir Pepic,74.0,Lehman College
John Zerafa,67.0,Lehman College
Jayden Diaz,71.0,Lehman College
Kevin Seise,68.0,Brooklyn College
Dion  Csikortos,65.0,Brooklyn College
Stefan Simon,69.0,Brooklyn College
Farid Akhundov,70.0,Brooklyn College
Omar Shawki,69.0,Brooklyn College
Yinuo Zhang,74.0,Brooklyn College
David Lema,68.0,Brooklyn College
Ali Zandani,66.0,Brooklyn College
Armand  Kaloshi,76.0,Brooklyn College
Aaron Siu,72.0,Brooklyn College
Tylar Pina,67.0,Brooklyn College
Jason Lin,77.0,Brooklyn College
Jiaian  Flanders,70.0,Brooklyn College
Joaquin Calderon,80.0,Brooklyn College
Nate Whyte,70.0,John Jay College
Eugene  Villarruz,66.0,John Jay College
Micah Rossman,68.0,John Jay College
Sebastian Rodriguez,68.0,John Jay College
Maxwell Law,69.0,John Jay College
Omar Alaoui,72.0,John Jay College
Nick Fuentes,74.0,John Jay College
Jimmy  Thinlay,71.0,John Jay College
Matthew Vong,69.0,John Jay College
Evan Wandersee,68.0,John Jay College
Logan Ramos,70.0,John Jay College
Daniel Gonzalez Verdejo,68.0,John Jay College
Alex Bridgelall,72.0,John Jay College
Jaden Lamarre,75.0,John Jay College
Steven Ajazi,76.0,John Jay College
Adam Bainey,77.0,John Jay College
Attila Nerette,76.0,John Jay College
Argjend Osmanaj,74.0,Baruch College
Ari Osmanaj,75.0,Baruch College
Raymond Yu,68.0,Baruch College
Kory Lingenfelter,74.0,Baruch College
Kairos Liang,71.0,Baruch College
Peter Gavroff,76.0,Baruch College
Zachary Yao,72.0,Baruch College
Ryan Oommen,69.0,Baruch College
Noah Pak,72.0,Baruch College
David Tang,69.0,Baruch College
Valentin Rodriguez,69.0,Baruch College
Aaron Clarke,72.0,Baruch College
Haoxin Hu,77.0,Baruch College
Caeleb Lee-Wen,67.0,Baruch College
Charlie Nguyen,71.0,Baruch College
Jacob Chen,69.0,Baruch College
Wyatt Kotuk,78.0,Hunter College
Crisostomo Ibarra,66.0,Hunter College
Lenny Arbitman,67.0,Hunter College
Brandon Yeh,67.0,Hunter College
Nick Yao,69.0,Hunter College
Charles Pampliega,72.0,Hunter College
Admir Cekic,73.0,Hunter College
Charlie Alvarez,67.0,Hunter College
Kyle Foley,74.0,Hunter College
Felipe Delgado,72.0,Hunter College
Lucas George,76.0,Hunter College
Jon Domingo,72.0,Hunter College
Wesley Stubbs,75.0,Hunter College
Jaidan LaSalle,69.0,Hunter College
Annes Deljanin,79.0,Hunter College
Demetri Gournelos,73.0,Hunter College
Jon Pflueger,77.0,Hunter College
Ahmed Mohamed,71.0,Hunter College
Ahmed Algendy,73.0,York College
Joseph Lebron,67.0,York College
Vincent Agokei,75.0,York College
Iteoluwakiisi Adegboye,72.0,York College
Ian McIntosh,72.0,York College
Alexis Ramirez,68.0,York College
George Molina,72.0,York College
Stanley  Sanchez,68.0,York College
Sebastian Gomez,76.0,York College
"David Heyliger, Jr.",73.0,York College
Ryan Tulsie,70.0,York College
